Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Puerto Rico,3.20965,3.23897,3.279,3.31603,3.35004,3.38211,3.4133,3.44447,3.47499,3.5056,3.53691,3.56211,3.58518,3.6155,3.64924,3.6831,3.72466,3.75943,3.7811,3.80008,3.81441,3.83777,3.85827,3.87664,3.89393,3.91072,3.92674,3.94124,3.95455,3.96729,3.9787
Saint Kitts and Nevis,0.04357,0.04348,0.04338,0.04323,0.04309,0.04293,0.04273,0.04248,0.04219,0.04192,0.04166,0.04141,0.04154,0.04206,0.04261,0.04313,0.04358,0.04407,0.04461,0.04513,0.04566,0.04619,0.04669,0.04714,0.04753,0.0479,0.04828,0.04866,0.04906,0.04948,0.0499
Saint Lucia,0.12248,0.124,0.12558,0.12729,0.12912,0.13101,0.13271,0.13418,0.1355,0.1365,0.13756,0.13917,0.14099,0.14279,0.14464,0.1465,0.14817,0.14971,0.15102,0.15211,0.1533,0.1544,0.1553,0.15601,0.15666,0.15737,0.15813,0.15887,0.15959,0.16027,0.16092
Saint Vincent/Grenadines,0.09814,0.0992,0.10048,0.10181,0.10289,0.10385,0.10476,0.1055,0.10614,0.10675,0.10739,0.10796,0.10822,0.10854,0.10869,0.10879,0.10877,0.10861,0.1084,0.10812,0.10786,0.10761,0.10726,0.10688,0.10648,0.10607,0.10569,0.10531,0.10494,0.10457,0.10422
Suriname,0.35408,0.35251,0.36009,0.36762,0.37426,0.38042,0.38489,0.38662,0.38856,0.39255,0.3948,0.39536,0.3965,0.39724,0.39877,0.40283,0.40761,0.41339,0.41993,0.42626,0.43249,0.43851,0.44433,0.44993,0.45532,0.4605,0.46561,0.47078,0.476,0.48127,0.48662
Trinidad and Tobago,1.09051,1.10784,1.12732,1.14815,1.16888,1.18903,1.20833,1.22499,1.23838,1.24816,1.25519,1.26039,1.2635,1.26512,1.26525,1.26432,1.26246,1.26015,1.25764,1.25463,1.25178,1.24905,1.24584,1.24243,1.23933,1.23669,1.23456,1.23281,1.23132,1.22995,1.22869
Turks and Caicos Islands,0.00747,0.00779,0.00815,0.00852,0.00891,0.00932,0.00973,0.01016,0.01061,0.01106,0.01151,0.01208,0.01266,0.01325,0.01384,0.01444,0.01504,0.01565,0.01627,0.01689,0.01751,0.01813,0.01875,0.01936,0.01997,0.02057,0.02117,0.02176,0.02235,0.02294,0.02353
Uruguay,2.93049,2.94813,2.96835,2.98883,3.00827,3.0121,3.03081,3.04899,3.0675,3.0879,3.10954,3.13141,3.1531,3.17479,3.19725,3.21926,3.24212,3.26667,3.28869,3.30831,3.32808,3.34802,3.36782,3.38734,3.40639,3.42489,3.44295,3.46061,3.47778,3.49438,3.51039
Venezuela,14.76789,15.16626,15.62077,16.08442,16.54452,16.99751,17.45016,17.91018,18.37853,18.85072,19.32522,19.79068,20.24606,20.69145,21.12604,21.549,21.96076,22.3618,22.75136,23.12864,23.49275,23.84387,24.19177,24.54543,24.90462,25.26918,25.64146,26.02353,26.41482,26.81484,27.22323
"Virgin Islands,  U.S.",0.09964,0.09985,0.10007,0.10035,0.1006,0.10076,0.10084,0.1009,0.10095,0.10104,0.10396,0.10481,0.10571,0.10658,0.10732,0.10782,0.10809,0.10836,0.10854,0.1086,0.10864,0.10875,0.10892,0.10915,0.10935,0.1096,0.10976,0.10982,0.10983,0.10981,0.10975
"Virgin Islands, British",0.011,0.01142,0.01182,0.01226,0.01273,0.01318,0.01363,0.0141,0.01462,0.01514,0.01569,0.01627,0.01676,0.01722,0.01769,0.01813,0.01858,0.01903,0.01948,0.01993,0.02038,0.02084,0.0213,0.02176,0.02222,0.02268,0.02313,0.02359,0.02404,0.02449,0.02494
Europe,529.50082,532.62947,535.24974,537.6101,539.96611,542.38088,544.93264,547.46078,550.04403,553.34384,556.54704,559.51433,562.1496,564.5766,566.98518,569.20044,571.23256,573.25103,575.25757,577.29902,579.66957,582.3036,585.01784,587.74208,590.55745,593.44305,596.28503,599.16377,601.85194,604.06725,606.00344
Albania,2.67141,2.72427,2.7801,2.83732,2.896,2.9567,3.01544,3.07532,3.13684,3.1958,3.24493,3.18105,3.07201,3.06629,3.11116,3.15815,3.2036,3.22541,3.21277,3.18733,3.15835,3.128,3.09803,3.06967,3.04564,3.02453,3.00578,2.99158,2.98412,2.98254,2.98695
Austria,7.54943,7.56463,7.57461,7.5529,7.55413,7.55978,7.56824,7.5789,7.59979,7.62786,7.72295,7.81842,7.91497,7.9886,8.02754,8.04743,8.06085,8.06988,8.07862,8.09416,8.11341,8.13169,8.14831,8.16266,8.17476,8.18469,8.19288,8.19978,8.20553,8.21028,8.21416
Belgium,9.8468,9.8524,9.8563,9.85552,9.8553,9.8582,9.8618,9.8702,9.884,9.9377,9.96931,10.00449,10.04562,10.08543,10.12291,10.15546,10.17893,10.19979,10.21703,10.23566,10.26362,10.29168,10.31197,10.33082,10.34828,10.36439,10.37907,10.39223,10.40395,10.41434,10.42349
Bulgaria,8.84353,8.86944,8.8921,8.91028,8.92827,8.94357,8.95877,8.97196,8.98203,8.99006,8.89403,8.77237,8.65851,8.44187,8.35334,8.25581,8.16103,8.06606,7.97177,7.89323,7.8185,7.73842,7.6618,7.5884,7.51797,7.45035,7.38537,7.32286,7.26268,7.20469,7.14879
Cyprus,0.63027,0.63805,0.64532,0.6565,0.66797,0.67922,0.69043,0.70162,0.71303,0.72686,0.74506,0.76623,0.78847,0.80976,0.82921,0.84735,0.8643,0.87985,0.89373,0.90688,0.91968,0.93263,0.94681,0.96465,0.98719,1.01074,1.03103,1.04891,1.06682,1.08475,1.10268
Denmark,5.12303,5.12157,5.11781,5.1143,5.11162,5.11369,5.12053,5.12702,5.12952,5.13259,5.14095,5.15435,5.17139,5.18839,5.2056,5.23261,5.26208,5.28366,5.30277,5.32013,5.33742,5.35583,5.37469,5.39414,5.41339,5.43234,5.45066,5.46812,5.48472,5.50051,5.51558
Faroe Islands,0.04345,0.04386,0.04425,0.04457,0.04506,0.04557,0.04605,0.04668,0.04709,0.04728,0.04744,0.04757,0.04778,0.04609,0.0445,0.04354,0.04359,0.04405,0.04456,0.04512,0.04579,0.04659,0.04735,0.04795,0.04829,0.04831,0.04832,0.04849,0.04867,0.04886,0.04906
Finland,4.77954,4.79996,4.82693,4.85579,4.88179,4.90178,4.91739,4.93173,4.94663,4.96244,4.98643,5.01379,5.04104,5.06485,5.08604,5.10465,5.12031,5.13441,5.14698,5.1581,5.1686,5.18031,5.19304,5.20441,5.21451,5.22344,5.23137,5.23846,5.24475,5.25028,5.25507
France,53.98766,54.27995,54.5712,54.78401,55.08925,55.31477,55.5418,55.78574,56.04352,56.58272,56.9051,57.24172,57.56004,57.86641,58.11596,58.36558,58.61602,58.8725,59.13674,59.40602,59.70356,60.0299,60.3632,60.6916,61.04681,61.43496,61.82613,62.22577,62.61158,62.98296,63.33964
Gibraltar,0.02883,0.02927,0.02885,0.02835,0.02823,0.02865,0.02907,0.02953,0.03003,0.03042,0.02911,0.0281,0.02809,0.02722,0.02678,0.02677,0.02678,0.02675,0.02675,0.02676,0.02727,0.02802,0.0282,0.02832,0.02841,0.02846,0.02854,0.02861,0.02871,0.0288,0.02888
Greece,9.64251,9.72935,9.78648,9.84053,9.88717,9.92325,9.95137,9.97449,9.98272,10.03077,10.1296,10.25088,10.32543,10.38299,10.42983,10.45755,10.47942,10.50237,10.52007,10.53675,10.55911,10.58152,10.60386,10.62595,10.64753,10.66835,10.68806,10.70629,10.72282,10.73743,10.74994
Hungary,10.71112,10.71185,10.70554,10.68946,10.6681,10.64871,10.63056,10.61274,10.4425,10.39796,10.37188,10.39781,10.38305,10.33003,10.29655,10.28081,10.2593,10.22955,10.2004,10.17161,10.14743,10.12993,10.11278,10.09199,10.07261,10.05762,10.04627,10.03423,10.02048,10.00717,9.99234
Iceland,0.22816,0.2308,0.234,0.23704,0.2395,0.2414,0.243,0.24468,0.24989,0.25275,0.25472,0.25683,0.25901,0.26127,0.26608,0.26753,0.269,0.27119,0.274,0.27728,0.28104,0.28481,0.28803,0.29106,0.29397,0.29674,0.29939,0.30193,0.30437,0.30669,0.30891
Ireland,3.401,3.4434,3.48,3.504,3.529,3.54,3.5405,3.5399,3.5296,3.5132,3.5082,3.53077,3.55776,3.57835,3.59554,3.61389,3.63618,3.68123,3.72801,3.77486,3.8222,3.8727,3.93313,4.00217,4.09116,4.19919,4.30902,4.41998,4.51771,4.58,4.62292
Italy,56.47271,56.5242,56.55763,56.65244,56.71946,56.7538,56.7566,56.75266,56.75707,56.76072,56.76636,56.77124,56.86492,57.0511,57.20409,57.29941,57.39232,57.5052,57.57648,57.63023,57.74642,57.87254,57.95519,58.02709,58.08669,58.13264,58.16346,58.17808,58.17607,58.15733,58.12216
Luxembourg,0.3644,0.3654,0.36572,0.36589,0.36627,0.36717,0.36902,0.37166,0.37562,0.37762,0.38297,0.38715,0.39255,0.39808,0.40376,0.4097,0.41557,0.42101,0.4265,0.43253,0.43878,0.44478,0.45079,0.45676,0.46269,0.46857,0.47441,0.48022,0.48601,0.49178,0.49754
Malta,0.364,0.36365,0.36022,0.35577,0.35138,0.34704,0.34663,0.34905,0.35195,0.35532,0.35911,0.36258,0.3659,0.37001,0.37361,0.37689,0.37996,0.38295,0.38561,0.3878,0.38995,0.39187,0.39352,0.39518,0.39685,0.39853,0.40021,0.40188,0.40353,0.40517,0.40677
Netherlands,14.1439,14.24605,14.3104,14.36238,14.42002,14.49138,14.57188,14.66528,14.76134,14.84891,14.95151,15.06622,15.17424,15.27494,15.3822,15.45905,15.52781,15.60446,15.69926,15.80195,15.90785,16.01744,16.12283,16.22325,16.3182,16.40749,16.49146,16.57061,16.64531,16.716,16.78309
Norway,4.08562,4.0997,4.11479,4.12843,4.14009,4.15242,4.1666,4.18615,4.20873,4.22614,4.24201,4.26173,4.28636,4.31196,4.33664,4.3591,4.38128,4.40567,4.43272,4.46338,4.4924,4.5152,4.53559,4.5554,4.57456,4.59304,4.61082,4.62793,4.64446,4.66054,4.67631
Poland,35.57802,35.90196,36.22738,36.57142,36.90413,37.22579,37.50428,37.74071,37.86684,37.97016,38.11941,38.25322,38.3707,38.46775,38.5483,38.60064,38.62984,38.65496,38.66876,38.66554,38.65416,38.64364,38.62598,38.60285,38.58044,38.55798,38.53687,38.51824,38.5007,38.48292,38.46369
Portugal,9.7778,9.85008,9.85965,9.87224,9.88539,9.89719,9.90741,9.91529,9.92061,9.92315,9.92269,9.91901,9.92768,9.96783,10.02769,10.06554,10.09992,10.15642,10.22483,10.28338,10.3356,10.38675,10.43387,10.47996,10.52415,10.56621,10.60587,10.64284,10.67691,10.70792,10.73577
Romania,22.13004,22.25655,22.35673,22.40728,22.45379,22.5212,22.59968,22.68637,22.7689,22.85212,22.86595,22.82556,22.79703,22.76576,22.73302,22.68741,22.62247,22.55774,22.51138,22.47629,22.44735,22.4155,22.36575,22.30468,22.24763,22.19716,22.15048,22.10615,22.06081,22.01182,21.95928
Spain,37.48836,37.7508,37.98331,38.18417,38.36286,38.53485,38.70756,38.8807,39.05388,39.21452,39.35077,39.46142,39.55243,39.6377,39.70788,39.76471,39.82056,39.90724,40.0461,40.25144,40.589,41.04689,41.63961,42.32103,43.00016,43.70437,44.43175,45.21164,45.91037,46.29524,46.50596
Sweden,8.31047,8.32049,8.32526,8.32903,8.34262,8.35634,8.38407,8.4214,8.46934,8.52628,8.60082,8.66811,8.71887,8.76928,8.83149,8.87789,8.89223,8.89762,8.90268,8.90979,8.92357,8.93991,8.95417,8.97031,8.9864,9.00177,9.0166,9.03109,9.04539,9.05965,9.07406
Switzerland,6.4103,6.45112,6.49438,6.52752,6.55628,6.59065,6.63043,6.67749,6.73194,6.79173,6.86542,6.94985,7.02515,7.08838,7.14508,7.18796,7.21214,7.22506,7.23953,7.26468,7.29913,7.34377,7.3946,7.44147,7.48431,7.5231,7.55793,7.58892,7.61604,7.63923,7.65844
Turkey,45.04797,46.25323,47.46418,48.66062,49.83974,50.99701,52.12734,53.24267,54.35553,55.46248,56.56068,57.65023,58.73117,59.80053,60.86709,61.94015,63.0178,64.09769,65.17718,66.254,67.3293,68.4049,69.47904,70.54864,71.61354,72.67381,73.72612,74.76784,75.79384,76.80552,77.80412
United Kingdom,56.51888,56.58903,56.53848,56.57376,56.64573,56.79629,56.96793,57.14729,57.31941,57.47839,57.6413,57.80509,57.96863,58.08795,58.24043,58.42269,58.58181,58.73261,58.92063,59.15164,59.38361,59.61997,59.84827,60.0718,60.37665,60.73887,61.10066,61.50589,61.90184,62.25857,62.61254
Eurasia,265.92182,268.11401,270.37541,272.79689,275.30423,277.78052,280.2583,282.67508,284.97091,286.40742,288.36232,289.94844,290.94832,291.21018,291.05061,290.85266,290.62283,290.27955,289.91891,289.39641,288.71912,287.98099,287.1886,286.4099,285.7158,285.13088,284.59973,284.11939,283.68562,283.28968,282.92477
Middle East,93.78699,97.61915,101.52251,105.53011,109.62352,113.89203,118.1603,122.16299,126.3694,130.54699,135.1109,137.61894,142.57975,146.00671,148.9879,152.34103,155.84253,162.21659,165.85793,169.46952,173.09215,176.80343,180.37562,183.75095,187.25346,190.98173,195.2996,200.13219,204.5201,208.44134,212.33692
Bahrain,0.34757,0.36343,0.37796,0.39303,0.4083,0.42399,0.43962,0.45471,0.4696,0.48494,0.50065,0.51543,0.52971,0.54425,0.55868,0.57295,0.58639,0.59893,0.61118,0.62308,0.63462,0.64589,0.65697,0.66785,0.67855,0.68905,0.69934,0.70938,0.71917,0.72871,0.738
Iran,39.70873,41.45082,43.21824,44.98932,46.79208,48.61894,50.46435,52.34019,54.17826,55.92667,58.1001,60.49643,62.31008,63.09966,63.46037,64.21727,65.11578,66.04188,66.95374,67.80393,68.63155,69.53153,70.28374,70.81183,71.4395,72.28271,73.1844,74.09327,75.02536,75.96761,76.9233
Iraq,13.23284,13.7031,14.17332,14.65222,15.16055,15.69362,16.24734,16.54319,17.04056,17.57254,18.13996,17.47737,17.86828,18.41148,18.97609,19.56361,20.16797,20.78125,21.40271,22.0356,22.67908,23.33473,24.00405,24.68518,25.37625,26.07609,26.78418,27.50016,28.22144,28.94557,29.67161
Israel,3.73747,3.80134,3.85842,3.92689,3.99734,4.06847,4.13968,4.21038,4.28204,4.35535,4.47781,4.64934,4.82246,4.99777,5.17486,5.3529,5.51452,5.66009,5.80873,5.96029,6.11457,6.25134,6.36954,6.49192,6.61773,6.74292,6.86688,6.99006,7.11236,7.2337,7.35399
Jordan,2.16278,2.25377,2.34764,2.44068,2.53438,2.63036,2.7275,2.8239,2.92078,3.0235,3.26656,3.63483,3.87091,3.98707,4.08473,4.17643,4.28166,4.38525,4.48522,4.58483,4.68762,4.79335,4.90206,5.01378,5.12826,5.2454,5.61722,5.99719,6.13263,6.26929,6.40709
